,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
358,benghazi,37,LY,1575248746,63,32.12,20.07,64.54,7.11
359,agadez,1,NE,1575248747,14,16.97,7.99,68.0,5.82
360,bambanglipuro,51,ID,1575248536,80,-7.95,110.28,80.44,7.29
361,bonthe,0,SL,1575248747,84,7.53,-12.5,79.81,6.78
362,tchollire,100,CM,1575248748,26,8.4,14.17,72.41,1.88
363,havelock,1,US,1575248526,88,34.88,-76.9,64.4,13.87
364,iracoubo,43,GF,1575248748,79,5.48,-53.21,81.82,16.33
365,shache,1,CN,1575248748,74,38.42,77.24,21.87,4.14
366,vila velha,75,IT,1575248625,100,45.18,8.4,44.01,5.82
367,marsa matruh,90,FR,1575248749,100,42.82,2.16,48.0,9.17
368,san francisco,0,ML,1575248590,16,13.3,-4.9,74.3,9.86
369,peniche,0,PT,1575248750,76,39.36,-9.38,54.0,16.11
370,dingle,100,PH,1575248533,84,11.0,122.67,77.43,0.87
371,skowhegan,1,US,1575248750,49,44.77,-69.72,28.0,8.05
372,gerash,0,IR,1575248750,81,27.67,54.14,46.4,1.36
373,gien,94,FR,1575248490,92,47.69,2.63,37.99,1.99
374,jaguaruana,72,BR,1575248751,74,-4.83,-37.78,82.4,10.29
375,luderitz,0,NA,1575248564,87,-26.65,15.16,57.2,9.17
376,borovoy,100,RU,1575248751,96,63.23,52.89,22.93,5.88
377,ribeira grande,75,PT,1575248561,75,41.76,-8.56,52.0,13.87
378,sinnamary,43,GF,1575248752,79,5.38,-52.96,81.82,16.33
379,hervey bay,1,US,1575248752,42,33.5,-93.78,48.99,14.99
380,tiarei,75,PF,1575248543,74,-17.53,-149.33,84.2,11.41
381,santa cruz de la palma,61,PH,1575248735,79,17.49,120.43,74.97,8.86
382,trelew,63,AR,1575248531,25,-43.25,-65.31,63.45,18.95
383,sao miguel do araguaia,94,IN,1575248754,64,20.51,76.21,67.8,6.91
